Map,Desired Safe prob,Delay prob (Planning),Delay prob (Execution),Number of agents,Number of goals,Instance,Runtime,Offline Runtime,Online Runtime,Number Of Replans,Online Total Service Time,Sum of Planning Times for All Goals,SGAT,Offline Total Service Time,Min Safe Prob across Plans,Number of Expands
maze-32-32-2,NotAvailable,0,0.5,10,10,1,0.229,0.229,0,0,314,2.293,316.293,94,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,2,0.106,0.106,0,0,259,1.062,260.062,94,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,3,0.09,0.09,0,0,197,0.902,197.902,64,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,4,0.114,0.114,0,0,429,1.145,430.145,95,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,5,0.079,0.079,0,0,289,0.788,289.788,89,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,6,0.103,0.103,0,0,304,1.029,305.029,89,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,7,0.067,0.067,0,0,222,0.673,222.673,69,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,8,0.088,0.088,0,0,203,0.876,203.876,63,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,9,0.104,0.104,0,0,351,1.037,352.037,111,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,10,0.102,0.102,0,0,309,1.02,310.02,96,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,11,0.106,0.106,0,0,270,1.057,271.057,82,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,12,0.139,0.139,0,0,384,1.391,385.391,118,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,13,0.159,0.159,0,0,295,1.585,296.585,106,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,14,0.111,0.111,0,0,314,1.112,315.112,118,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,15,0.107,0.107,0,0,244,1.071,245.071,82,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,16,0.124,0.124,0,0,486,1.236,487.236,109,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,17,0.073,0.073,0,0,348,0.73,348.73,106,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,18,0.159,0.159,0,0,374,1.59,375.59,111,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,19,0.153,0.153,0,0,532,1.531,533.531,117,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,20,0.087,0.087,0,0,291,0.874,291.874,99,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,21,0.131,0.131,0,0,433,1.306,434.306,143,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,22,0.115,0.115,0,0,485,1.151,486.151,117,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,23,0.085,0.085,0,0,265,0.851,265.851,58,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,24,0.128,0.128,0,0,871,1.279,872.279,152,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,25,0.105,0.105,0,0,249,1.051,250.051,97,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,26,0.132,0.132,0,0,377,1.32,378.32,113,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,27,0.108,0.108,0,0,207,1.083,208.083,68,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,28,0.103,0.103,0,0,366,1.029,367.029,93,NotAvailable,1.0
maze-32-32-2,NotAvailable,0,0.5,10,10,29,0.087,0.087,0,0,285,0.867,285.867,100,NotAvailable,1.0
